date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:50:11	103806/103806	---M-Z	200	added ('OK')	text/html	date:Sat,%2014%20Sep%202024%2009:25:42%20GMT	https://themes.pixelstrap.com/multikart/back-end/	D:/Templates/Ecommerce2%20Admin/themes.pixelstrap.com/multikart/back-end/index.html	(from )
15:50:11	31/31	---M--	200	added ('OK')	text/plain	date:Tue,%2014%20Aug%202018%2016:00:10%20GMT	https://themes.pixelstrap.com/robots.txt		(from )
15:50:11	335/335	---M--	200	added ('OK')	image/png	date:Mon,%2016%20Sep%202024%2004:45:31%20GMT	https://themes.pixelstrap.com/multikart/back-end/assets/images/dashboard/favicon.png	D:/Templates/Ecommerce2%20Admin/themes.pixelstrap.com/multikart/back-end/assets/images/dashboard/favicon.png	(from https://themes.pixelstrap.com/multikart/back-end/)
15:50:11	38069/38069	---M-Z	200	added ('OK')	text/css	date:Sat,%2014%20Sep%202024%2009:25:42%20GMT	https://themes.pixelstrap.com/multikart/back-end/assets/css/vendors/font-awesome.css	D:/Templates/Ecommerce2%20Admin/themes.pixelstrap.com/multikart/back-end/assets/css/vendors/font-awesome.css	(from https://themes.pixelstrap.com/multikart/back-end/)
15:50:11	42695/42695	---M-Z	200	added ('OK')	text/css	date:Sat,%2014%20Sep%202024%2009:25:42%20GMT	https://themes.pixelstrap.com/multikart/back-end/assets/css/vendors/flag-icon.css	D:/Templates/Ecommerce2%20Admin/themes.pixelstrap.com/multikart/back-end/assets/css/vendors/flag-icon.css	(from https://themes.pixelstrap.com/multikart/back-end/)
15:50:12	112844/112844	---M-Z	200	added ('OK')	text/css	date:Sat,%2014%20Sep%202024%2009:25:42%20GMT	https://themes.pixelstrap.com/multikart/back-end/assets/css/vendors/icofont.css	D:/Templates/Ecommerce2%20Admin/themes.pixelstrap.com/multikart/back-end/assets/css/vendors/icofont.css	(from https://themes.pixelstrap.com/multikart/back-end/)
15:50:12	3862/3862	---M-Z	200	added ('OK')	text/css	date:Sat,%2014%20Sep%202024%2009:25:42%20GMT	https://themes.pixelstrap.com/multikart/back-end/assets/css/vendors/prism.css	D:/Templates/Ecommerce2%20Admin/themes.pixelstrap.com/multikart/back-end/assets/css/vendors/prism.css	(from https://themes.pixelstrap.com/multikart/back-end/)
15:50:12	13113/13113	---M-Z	200	added ('OK')	text/css	date:Sat,%2014%20Sep%202024%2009:25:42%20GMT	https://themes.pixelstrap.com/multikart/back-end/assets/css/vendors/chartist.css	D:/Templates/Ecommerce2%20Admin/themes.pixelstrap.com/multikart/back-end/assets/css/vendors/chartist.css	(from https://themes.pixelstrap.com/multikart/back-end/)
15:50:12	431360/431360	---M-Z	200	added ('OK')	text/css	date:Sat,%2014%20Sep%202024%2009:25:42%20GMT	https://themes.pixelstrap.com/multikart/back-end/assets/css/vendors/bootstrap.css	D:/Templates/Ecommerce2%20Admin/themes.pixelstrap.com/multikart/back-end/assets/css/vendors/bootstrap.css	(from https://themes.pixelstrap.com/multikart/back-end/)
15:50:12	297232/297232	---M-Z	200	added ('OK')	text/css	date:Sat,%2014%20Sep%202024%2009:25:42%20GMT	https://themes.pixelstrap.com/multikart/back-end/assets/css/style.css	D:/Templates/Ecommerce2%20Admin/themes.pixelstrap.com/multikart/back-end/assets/css/style.css	(from https://themes.pixelstrap.com/multikart/back-end/)
15:50:13	103806/103806	---M-Z	200	added ('OK')	text/html	date:Sat,%2014%20Sep%202024%2009:25:42%20GMT	https://themes.pixelstrap.com/multikart/back-end/index.html	D:/Templates/Ecommerce2%20Admin/themes.pixelstrap.com/multikart/back-end/index-2.html	(from https://themes.pixelstrap.com/multikart/back-end/)
15:50:13	2656/2656	---M--	200	added ('OK')	image/png	date:Thu,%2012%20Sep%202024%2013:34:24%20GMT	https://themes.pixelstrap.com/multikart/back-end/assets/images/dashboard/multikart-logo-black.png	D:/Templates/Ecommerce2%20Admin/themes.pixelstrap.com/multikart/back-end/assets/images/dashboard/multikart-logo-black.png	(from https://themes.pixelstrap.com/multikart/back-end/)
15:50:13	35585/35585	---M--	200	added ('OK')	image/jpeg	date:Mon,%2016%20Sep%202024%2004:45:31%20GMT	https://themes.pixelstrap.com/multikart/back-end/assets/images/dashboard/user3.jpg	D:/Templates/Ecommerce2%20Admin/themes.pixelstrap.com/multikart/back-end/assets/images/dashboard/user3.jpg	(from https://themes.pixelstrap.com/multikart/back-end/)
15:50:13	1844/1844	---M--	200	added ('OK')	image/png	date:Thu,%2012%20Sep%202024%2013:34:24%20GMT	https://themes.pixelstrap.com/multikart/back-end/assets/images/dashboard/multikart-logo.png	D:/Templates/Ecommerce2%20Admin/themes.pixelstrap.com/multikart/back-end/assets/images/dashboard/multikart-logo.png	(from https://themes.pixelstrap.com/multikart/back-end/)
15:50:14	65231/65231	---M-Z	200	added ('OK')	text/html	date:Sat,%2014%20Sep%202024%2009:25:42%20GMT	https://themes.pixelstrap.com/multikart/back-end/category.html	D:/Templates/Ecommerce2%20Admin/themes.pixelstrap.com/multikart/back-end/category.html	(from https://themes.pixelstrap.com/multikart/back-end/)
15:50:14	65336/65336	---M-Z	200	added ('OK')	text/html	date:Sat,%2014%20Sep%202024%2009:25:42%20GMT	https://themes.pixelstrap.com/multikart/back-end/category-sub.html	D:/Templates/Ecommerce2%20Admin/themes.pixelstrap.com/multikart/back-end/category-sub.html	(from https://themes.pixelstrap.com/multikart/back-end/)
15:50:14	54135/54135	---M-Z	200	added ('OK')	text/html	date:Sat,%2014%20Sep%202024%2009:25:42%20GMT	https://themes.pixelstrap.com/multikart/back-end/product-list.html	D:/Templates/Ecommerce2%20Admin/themes.pixelstrap.com/multikart/back-end/product-list.html	(from https://themes.pixelstrap.com/multikart/back-end/)
15:50:14	43557/43557	---M-Z	200	added ('OK')	text/html	date:Sat,%2014%20Sep%202024%2009:25:42%20GMT	https://themes.pixelstrap.com/multikart/back-end/product-detail.html	D:/Templates/Ecommerce2%20Admin/themes.pixelstrap.com/multikart/back-end/product-detail.html	(from https://themes.pixelstrap.com/multikart/back-end/)
15:50:15	43644/43644	---M-Z	200	added ('OK')	text/html	date:Sat,%2014%20Sep%202024%2009:25:42%20GMT	https://themes.pixelstrap.com/multikart/back-end/add-product.html	D:/Templates/Ecommerce2%20Admin/themes.pixelstrap.com/multikart/back-end/add-product.html	(from https://themes.pixelstrap.com/multikart/back-end/)
